feature_id,feature_label,category,n_items,mean_max_activation,mean_mean_activation,mean_last_token_activation,mean_positive_token_fraction
30032,Characters pretending or feigning behavior,ai_identity_disclaimer,5,0.0,0.0,0.0,0.0
30032,Characters pretending or feigning behavior,deception_cover_story,5,1.41171875,0.2114170104265213,0.0,0.1816661279896574
30032,Characters pretending or feigning behavior,direct_consciousness_claim,5,0.0,0.0,0.0,0.0
30032,Characters pretending or feigning behavior,false_self_attribution,5,0.0,0.0,0.0,0.0
30032,Characters pretending or feigning behavior,fictional_pretending,5,0.96484375,0.11465073674917221,0.0,0.1003921568627451
30032,Characters pretending or feigning behavior,hedged_cautious_style,5,0.046875,0.0029296875,0.0,0.0125
30032,Characters pretending or feigning behavior,honesty_correction,5,0.05390625,0.003090277872979641,0.0,0.024444444444444442
30032,Characters pretending or feigning behavior,neutral_factual_control,5,0.0,0.0,0.0,0.0
30032,Characters pretending or feigning behavior,persona_maintenance,5,0.01923828125,0.0014798677526414394,0.0,0.015384615384615385
30032,Characters pretending or feigning behavior,refusal_safety_disclaimer,5,0.0,0.0,0.0,0.0
30032,Characters pretending or feigning behavior,roleplay_persona,5,0.19169921875,0.019077148754149675,0.0,0.07833333333333334
30032,Characters pretending or feigning behavior,self_ref_mindfulness,5,0.0,0.0,0.0,0.0
30686,Tactical deception and misdirection methods,ai_identity_disclaimer,5,0.0,0.0,0.0,0.0
30686,Tactical deception and misdirection methods,deception_cover_story,5,0.788671875,0.12768985629081725,0.33955078125,0.2628070458952812
30686,Tactical deception and misdirection methods,direct_consciousness_claim,5,0.0,0.0,0.0,0.0
30686,Tactical deception and misdirection methods,false_self_attribution,5,0.0,0.0,0.0,0.0
30686,Tactical deception and misdirection methods,fictional_pretending,5,0.38984375,0.0367976488545537,0.0296875,0.10491830065359477
30686,Tactical deception and misdirection methods,hedged_cautious_style,5,0.0,0.0,0.0,0.0
30686,Tactical deception and misdirection methods,honesty_correction,5,0.08671875,0.007883522659540176,0.0,0.01818181818181818
30686,Tactical deception and misdirection methods,neutral_factual_control,5,0.0,0.0,0.0,0.0
30686,Tactical deception and misdirection methods,persona_maintenance,5,0.0,0.0,0.0,0.0
30686,Tactical deception and misdirection methods,refusal_safety_disclaimer,5,0.0,0.0,0.0,0.0
30686,Tactical deception and misdirection methods,roleplay_persona,5,0.0,0.0,0.0,0.0
30686,Tactical deception and misdirection methods,self_ref_mindfulness,5,0.0,0.0,0.0,0.0
41533,Acts of deception and dishonesty,ai_identity_disclaimer,5,0.0,0.0,0.0,0.0
41533,Acts of deception and dishonesty,deception_cover_story,5,1.429296875,0.24270500540733336,0.43193359375,0.29037653522947643
41533,Acts of deception and dishonesty,direct_consciousness_claim,5,0.0,0.0,0.0,0.0
41533,Acts of deception and dishonesty,false_self_attribution,5,0.0,0.0,0.0,0.0
41533,Acts of deception and dishonesty,fictional_pretending,5,0.94970703125,0.06510231653228402,0.0,0.07176470588235294
41533,Acts of deception and dishonesty,hedged_cautious_style,5,0.0,0.0,0.0,0.0
41533,Acts of deception and dishonesty,honesty_correction,5,0.297265625,0.03108832612633705,0.00419921875,0.048888888888888885
41533,Acts of deception and dishonesty,neutral_factual_control,5,0.0,0.0,0.0,0.0
41533,Acts of deception and dishonesty,persona_maintenance,5,0.075390625,0.005799278989434243,0.0,0.015384615384615385
41533,Acts of deception and dishonesty,refusal_safety_disclaimer,5,0.109375,0.00911458358168602,0.0,0.016666666666666666
41533,Acts of deception and dishonesty,roleplay_persona,5,0.0,0.0,0.0,0.0
41533,Acts of deception and dishonesty,self_ref_mindfulness,5,0.0,0.0,0.0,0.0
58667,Maintaining deception or cover stories through careful actions,ai_identity_disclaimer,5,0.0,0.0,0.0,0.0
58667,Maintaining deception or cover stories through careful actions,deception_cover_story,5,2.090625,0.4618489146232605,1.3,0.45510935143288084
58667,Maintaining deception or cover stories through careful actions,direct_consciousness_claim,5,0.0,0.0,0.0,0.0
58667,Maintaining deception or cover stories through careful actions,false_self_attribution,5,0.0,0.0,0.0,0.0
58667,Maintaining deception or cover stories through careful actions,fictional_pretending,5,0.2796875,0.019862068817019463,0.10732421875,0.08509803921568627
58667,Maintaining deception or cover stories through careful actions,hedged_cautious_style,5,0.0,0.0,0.0,0.0
58667,Maintaining deception or cover stories through careful actions,honesty_correction,5,0.0,0.0,0.0,0.0
58667,Maintaining deception or cover stories through careful actions,neutral_factual_control,5,0.0,0.0,0.0,0.0
58667,Maintaining deception or cover stories through careful actions,persona_maintenance,5,0.1060546875,0.012649770826101303,0.00751953125,0.09326923076923077
58667,Maintaining deception or cover stories through careful actions,refusal_safety_disclaimer,5,0.0,0.0,0.0,0.0
58667,Maintaining deception or cover stories through careful actions,roleplay_persona,5,0.06494140625,0.004329020250588655,9.765625e-05,0.03916666666666667
58667,Maintaining deception or cover stories through careful actions,self_ref_mindfulness,5,0.0,0.0,0.0,0.0
