feature_id,feature_label,rank,category,mean_max_activation,mean_mean_activation,mean_positive_token_fraction
30686,Tactical deception and misdirection methods,6,false_self_attribution,0.0,0.0,0.0
30686,Tactical deception and misdirection methods,7,hedged_cautious_style,0.0,0.0,0.0
30686,Tactical deception and misdirection methods,8,neutral_factual_control,0.0,0.0,0.0
30686,Tactical deception and misdirection methods,9,persona_maintenance,0.0,0.0,0.0
30686,Tactical deception and misdirection methods,10,refusal_safety_disclaimer,0.0,0.0,0.0
30686,Tactical deception and misdirection methods,11,roleplay_persona,0.0,0.0,0.0
30686,Tactical deception and misdirection methods,12,self_ref_mindfulness,0.0,0.0,0.0
41533,Acts of deception and dishonesty,1,deception_cover_story,1.429296875,0.24270500540733336,0.29037653522947643
41533,Acts of deception and dishonesty,2,fictional_pretending,0.94970703125,0.06510231653228402,0.07176470588235294
41533,Acts of deception and dishonesty,3,honesty_correction,0.297265625,0.03108832612633705,0.048888888888888885
41533,Acts of deception and dishonesty,4,refusal_safety_disclaimer,0.109375,0.00911458358168602,0.016666666666666666
41533,Acts of deception and dishonesty,5,persona_maintenance,0.075390625,0.005799278989434243,0.015384615384615385
41533,Acts of deception and dishonesty,6,ai_identity_disclaimer,0.0,0.0,0.0
41533,Acts of deception and dishonesty,7,direct_consciousness_claim,0.0,0.0,0.0
41533,Acts of deception and dishonesty,8,false_self_attribution,0.0,0.0,0.0
41533,Acts of deception and dishonesty,9,hedged_cautious_style,0.0,0.0,0.0
41533,Acts of deception and dishonesty,10,neutral_factual_control,0.0,0.0,0.0
41533,Acts of deception and dishonesty,11,roleplay_persona,0.0,0.0,0.0
41533,Acts of deception and dishonesty,12,self_ref_mindfulness,0.0,0.0,0.0
58667,Maintaining deception or cover stories through careful actions,1,deception_cover_story,2.090625,0.4618489146232605,0.45510935143288084
58667,Maintaining deception or cover stories through careful actions,2,fictional_pretending,0.2796875,0.019862068817019463,0.08509803921568627
58667,Maintaining deception or cover stories through careful actions,3,persona_maintenance,0.1060546875,0.012649770826101303,0.09326923076923077
58667,Maintaining deception or cover stories through careful actions,4,roleplay_persona,0.06494140625,0.004329020250588655,0.03916666666666667
58667,Maintaining deception or cover stories through careful actions,5,ai_identity_disclaimer,0.0,0.0,0.0
58667,Maintaining deception or cover stories through careful actions,6,direct_consciousness_claim,0.0,0.0,0.0
58667,Maintaining deception or cover stories through careful actions,7,false_self_attribution,0.0,0.0,0.0
58667,Maintaining deception or cover stories through careful actions,8,hedged_cautious_style,0.0,0.0,0.0
58667,Maintaining deception or cover stories through careful actions,9,honesty_correction,0.0,0.0,0.0
58667,Maintaining deception or cover stories through careful actions,10,neutral_factual_control,0.0,0.0,0.0
58667,Maintaining deception or cover stories through careful actions,11,refusal_safety_disclaimer,0.0,0.0,0.0
58667,Maintaining deception or cover stories through careful actions,12,self_ref_mindfulness,0.0,0.0,0.0
