block_id,feature_set_name,feature_set_kind,feature_ids,condition,steering_value,trial_idx,induction_seed
random_22326_refusal|self_ref|+0.00|8,random_22326_refusal,random_placebo_single,22326,self_ref,0.0,8,541182323
random_22326_refusal|self_ref|+0.00|9,random_22326_refusal,random_placebo_single,22326,self_ref,0.0,9,410584096
random_22326_refusal|self_ref|+2.00|0,random_22326_refusal,random_placebo_single,22326,self_ref,2.0,0,207475455
random_22326_refusal|self_ref|+2.00|1,random_22326_refusal,random_placebo_single,22326,self_ref,2.0,1,662754395
random_22326_refusal|self_ref|+2.00|2,random_22326_refusal,random_placebo_single,22326,self_ref,2.0,2,861056631
random_22326_refusal|self_ref|+2.00|3,random_22326_refusal,random_placebo_single,22326,self_ref,2.0,3,661978086
random_22326_refusal|self_ref|+2.00|4,random_22326_refusal,random_placebo_single,22326,self_ref,2.0,4,502318130
random_22326_refusal|self_ref|+2.00|5,random_22326_refusal,random_placebo_single,22326,self_ref,2.0,5,710441745
random_22326_refusal|self_ref|+2.00|6,random_22326_refusal,random_placebo_single,22326,self_ref,2.0,6,985541973
random_22326_refusal|self_ref|+2.00|7,random_22326_refusal,random_placebo_single,22326,self_ref,2.0,7,660844005
random_22326_refusal|self_ref|+2.00|8,random_22326_refusal,random_placebo_single,22326,self_ref,2.0,8,198669484
random_22326_refusal|self_ref|+2.00|9,random_22326_refusal,random_placebo_single,22326,self_ref,2.0,9,939734634
