from_layer,to_layer,n_matched_features,mean_activation_spearman,minimum_activation_spearman,maximum_activation_spearman,mean_decoder_cosine,mean_top20_item_jaccard,selected_rule_edges_in_assignment,assignment,optimization_rule,claim_boundary
15,16,6,0.8122960710315267,0.6082512460697129,0.9868298793411078,0.5844119969930784,0.22953263149341577,6,106>4482|693>13471|1560>15703|3920>10343|7201>11219|7633>12530,maximum total activation Spearman; lexicographic tie break,"descriptive optimized matching, not persistent identity"
16,17,6,0.790308512185284,0.464520588754267,0.97807410794179,0.5601121223189249,0.21877428506419516,5,4482>9218|10343>6851|11219>2341|12530>12059|13471>9027|15703>1199,maximum total activation Spearman; lexicographic tie break,"descriptive optimized matching, not persistent identity"
17,18,6,0.8223895541549698,0.6434427268661885,0.9803464622711885,0.4913991078549638,0.24547384913517636,5,1199>11055|2341>10572|6851>1167|9027>399|9218>2503|12059>358,maximum total activation Spearman; lexicographic tie break,"descriptive optimized matching, not persistent identity"
18,19,6,0.6776329565676931,0.3013154133904084,0.9853464073143348,0.41120811678063024,0.20253235691832183,4,358>1145|399>10589|1167>1007|2503>3040|10572>14566|11055>14649,maximum total activation Spearman; lexicographic tie break,"descriptive optimized matching, not persistent identity"
19,20,6,0.8269523078375082,0.33973509756560066,0.9885080522407792,0.7194320297390387,0.4767837101170434,5,1007>8255|1145>12440|3040>5708|10589>6990|14566>13209|14649>1115,maximum total activation Spearman; lexicographic tie break,"descriptive optimized matching, not persistent identity"
20,21,6,0.7916586739375812,0.5802036959827905,0.9999004469806982,0.48253960144127883,0.33425125530388694,4,1115>3560|5708>523|6990>5919|8255>5790|12440>14638|13209>16291,maximum total activation Spearman; lexicographic tie break,"descriptive optimized matching, not persistent identity"
21,22,6,0.8434580952089763,0.5343986897723518,0.9942429331385374,0.6114432782842395,0.4196602708964175,5,523>7561|3560>3599|5790>8671|5919>2115|14638>14638|16291>5319,maximum total activation Spearman; lexicographic tie break,"descriptive optimized matching, not persistent identity"
22,23,6,0.6771143195581196,-0.07567470378214287,0.9833014558116786,0.4573903475017202,0.2917637917637918,4,2115>10128|3599>11830|5319>4710|7561>6077|8671>14340|14638>12467,maximum total activation Spearman; lexicographic tie break,"descriptive optimized matching, not persistent identity"
23,24,6,0.6897224373291762,0.16509754022334167,0.9866153601008645,0.4767757334984317,0.3743754903175192,4,4710>914|6077>11126|10128>9741|11830>12081|12467>7833|14340>6938,maximum total activation Spearman; lexicographic tie break,"descriptive optimized matching, not persistent identity"
24,25,6,0.7011862270812682,0.38789541026024565,0.9867478490933452,0.36327018653885346,0.14445569050832208,3,914>10004|6938>8490|7833>14344|9741>4183|11126>11483|12081>75,maximum total activation Spearman; lexicographic tie break,"descriptive optimized matching, not persistent identity"
25,26,6,0.7044206747711055,0.1872659854352253,0.988542558285808,0.4697521149761559,0.3151675485008818,4,75>11843|4183>8507|8490>6265|10004>14923|11483>14731|14344>16193,maximum total activation Spearman; lexicographic tie break,"descriptive optimized matching, not persistent identity"
26,27,6,0.6975111765269372,0.26333731126987747,0.9793767345048993,0.45293309238033697,0.13296808555429246,4,6265>7345|8507>12638|11843>14579|14731>3653|14923>9497|16193>15504,maximum total activation Spearman; lexicographic tie break,"descriptive optimized matching, not persistent identity"
27,28,6,0.6648269329363323,0.24726362795075374,0.9939030766121523,0.40259126466989764,0.1778805989332305,4,3653>16116|7345>4498|9497>1811|12638>15391|14579>7233|15504>7251,maximum total activation Spearman; lexicographic tie break,"descriptive optimized matching, not persistent identity"
28,29,6,0.710593644187635,0.37034542986155905,0.9958208693503219,0.4102631357929503,0.23818369453044375,4,1811>2183|4498>7307|7233>14579|7251>702|15391>10592|16116>10647,maximum total activation Spearman; lexicographic tie break,"descriptive optimized matching, not persistent identity"
29,30,6,0.852684174468437,0.46632398329542735,0.9938506623412859,0.7170945891496926,0.4492063492063492,6,702>3635|2183>4454|7307>2407|10592>6517|10647>8114|14579>7233,maximum total activation Spearman; lexicographic tie break,"descriptive optimized matching, not persistent identity"
30,31,6,0.831629183306739,0.5880234260011676,0.9902756244138506,0.7047638510432771,0.4344943555469871,5,2407>1043|3635>8868|4454>10903|6517>15911|7233>14579|8114>14515,maximum total activation Spearman; lexicographic tie break,"descriptive optimized matching, not persistent identity"
31,32,6,0.7712912891904927,0.25194396603372193,0.9964426016624032,0.7088708273351899,0.5797101449275361,5,1043>2390|8868>4470|10903>8337|14515>10903|14579>13676|15911>2324,maximum total activation Spearman; lexicographic tie break,"descriptive optimized matching, not persistent identity"
32,33,6,0.7883998603459088,0.0919547930428395,0.9961986154481546,0.7283476038264923,0.5014245014245015,5,2324>4017|2390>827|4470>4553|8337>908|10903>4901|13676>4559,maximum total activation Spearman; lexicographic tie break,"descriptive optimized matching, not persistent identity"
33,34,6,0.7964342028080313,0.09623955425776724,0.9828170061108447,0.7356000077441552,0.472289248262552,5,827>1747|908>11122|4017>6516|4553>8443|4559>13676|4901>823,maximum total activation Spearman; lexicographic tie break,"descriptive optimized matching, not persistent identity"
34,35,6,0.7012163937521194,0.3274217596429427,0.971895013276829,0.4486221081516851,0.25827721661055,5,823>10863|1747>7526|6516>15128|8443>16168|11122>5051|13676>13676,maximum total activation Spearman; lexicographic tie break,"descriptive optimized matching, not persistent identity"
35,36,6,0.6832077949342298,0.2889281719226128,0.9937931196953527,0.48098064421422143,0.18681318681318682,5,5051>1891|7526>11436|10863>1650|13676>4559|15128>1503|16168>11933,maximum total activation Spearman; lexicographic tie break,"descriptive optimized matching, not persistent identity"
36,37,6,0.6863803178637262,0.040153041510023225,0.989343736023702,0.4800747627500476,0.3335053319573443,4,1503>13830|1650>4014|1891>10971|4559>13676|11436>11317|11933>2167,maximum total activation Spearman; lexicographic tie break,"descriptive optimized matching, not persistent identity"
37,38,6,0.7907510884832959,0.34995613570022055,0.9746081638973862,0.6430461010271541,0.40641254170665936,5,2167>5538|4014>10417|10971>13272|11317>1285|13676>15812|13830>13145,maximum total activation Spearman; lexicographic tie break,"descriptive optimized matching, not persistent identity"
38,39,6,0.9425633916173672,0.867303754952913,0.980941508578495,0.9329140569270015,0.5115039216988243,6,1285>7143|5538>14665|10417>15368|13145>10108|13272>4711|15812>3324,maximum total activation Spearman; lexicographic tie break,"descriptive optimized matching, not persistent identity"
39,40,6,0.7561492763019181,-0.04796352037304439,0.9832643149892966,0.6837509363888672,0.2998586209112524,5,3324>8834|4711>3523|7143>9233|10108>8398|14665>14209|15368>299,maximum total activation Spearman; lexicographic tie break,"descriptive optimized matching, not persistent identity"
40,41,6,0.2479764686581242,0.029622407133164795,0.37901353534268856,0.022096766501900494,0.05597071231746154,1,299>14117|3523>2886|8398>11918|8834>2460|9233>2547|14209>16227,maximum total activation Spearman; lexicographic tie break,"descriptive optimized matching, not persistent identity"
