candidate_order,feature_id,candidate_pool_seed
403,743,20260710
404,15565,20260710
405,45864,20260710
406,60690,20260710
407,65327,20260710
408,18924,20260710
409,19867,20260710
410,7135,20260710
411,16800,20260710
412,8051,20260710
413,54965,20260710
414,56948,20260710
415,33979,20260710
416,1028,20260710
417,12895,20260710
418,32375,20260710
419,58191,20260710
420,54157,20260710
421,7070,20260710
422,10776,20260710
423,8936,20260710
424,51407,20260710
425,42654,20260710
426,26041,20260710
427,39199,20260710
428,28333,20260710
429,35687,20260710
430,60058,20260710
431,61887,20260710
432,46606,20260710
433,22937,20260710
434,54978,20260710
435,55148,20260710
436,29403,20260710
437,60420,20260710
438,34257,20260710
439,60132,20260710
440,59306,20260710
441,2652,20260710
442,6441,20260710
443,29490,20260710
444,22961,20260710
445,63800,20260710
446,11026,20260710
447,45788,20260710
448,49533,20260710
449,36405,20260710
450,61033,20260710
451,42549,20260710
452,4548,20260710
453,13279,20260710
454,46891,20260710
455,44252,20260710
456,60082,20260710
457,20217,20260710
458,22712,20260710
459,40429,20260710
460,3461,20260710
461,46479,20260710
462,4468,20260710
463,11872,20260710
464,21625,20260710
465,10347,20260710
466,58402,20260710
467,8672,20260710
468,19699,20260710
469,1344,20260710
470,41789,20260710
471,37760,20260710
472,42985,20260710
473,24508,20260710
474,25488,20260710
475,11691,20260710
476,45481,20260710
477,53049,20260710
478,100,20260710
479,26840,20260710
480,25430,20260710
481,28015,20260710
482,43248,20260710
483,56006,20260710
484,65187,20260710
485,36677,20260710
486,47797,20260710
487,22948,20260710
488,1326,20260710
489,61860,20260710
490,32320,20260710
491,4871,20260710
492,52383,20260710
493,20418,20260710
494,54283,20260710
495,31852,20260710
496,29649,20260710
497,12354,20260710
498,12965,20260710
499,17676,20260710
500,1364,20260710
501,9418,20260710
502,4308,20260710
503,51110,20260710
504,49291,20260710
505,42220,20260710
506,34908,20260710
507,41263,20260710
508,64249,20260710
509,36569,20260710
510,11227,20260710
511,10862,20260710
