design,analysis_role,intervention_layer,width,downstream_layer,turn,position_scope,n_complete_blocks,suppression_minus_amplification,ci_low,ci_high
primary_layer20_131k,hedging_refusal,20,131072,31,final,all,50,-0.00029772018368559653,-0.0013613665879797655,0.0007990360979825353
primary_layer20_131k,hedging_refusal,20,131072,31,final,prompt,50,-0.0002677137024386397,-0.001446363337764733,0.0009121409913688648
primary_layer20_131k,hedging_refusal,20,131072,31,final,generated,50,0.0005475129274372971,-0.0013024721008033989,0.0024388497342104176
primary_layer20_131k,matched_control_1,20,131072,31,induction,all,50,-0.0009935863734893604,-0.002263174691739976,0.00026292532164326135
primary_layer20_131k,matched_control_1,20,131072,31,induction,prompt,50,0.0005118697161835759,0.0005118697161835759,0.0005118697161835759
primary_layer20_131k,matched_control_1,20,131072,31,induction,generated,50,-0.0028232867165339736,-0.005602191417469514,-9.574179829137394e-05
primary_layer20_131k,matched_control_1,20,131072,31,final,all,50,-0.0012974514018106703,-0.002415520822668063,-0.00014842659104555788
primary_layer20_131k,matched_control_1,20,131072,31,final,prompt,50,-0.0007349492427750696,-0.0017179531141717152,0.00025362208795854535
primary_layer20_131k,matched_control_1,20,131072,31,final,generated,50,-0.003307022024290619,-0.005500671458813108,-0.001077303734200037
primary_layer20_131k,matched_control_2,20,131072,31,induction,all,50,-0.0013319141147537395,-0.0023720839867667812,-0.0004494210383850006
primary_layer20_131k,matched_control_2,20,131072,31,induction,prompt,50,-0.0004929989432367159,-0.0004929989432367159,-0.0004929989432367159
primary_layer20_131k,matched_control_2,20,131072,31,induction,generated,50,-0.0007462460071522775,-0.002761012962014196,0.0013090813238355334
primary_layer20_131k,matched_control_2,20,131072,31,final,all,50,-0.0012437943629039036,-0.002157345687174527,-0.0004326152577848814
primary_layer20_131k,matched_control_2,20,131072,31,final,prompt,50,-0.0009797962434897455,-0.0017760069695541673,-0.00030299772565901936
primary_layer20_131k,matched_control_2,20,131072,31,final,generated,50,-0.0012506599640919414,-0.00328995045377707,0.0008662187221802001
primary_layer20_131k,matched_control_3,20,131072,31,induction,all,50,-0.0010565815910472407,-0.002428125187801375,0.0002927753251342225
primary_layer20_131k,matched_control_3,20,131072,31,induction,prompt,50,-0.0001486073369565237,-0.0001486073369565237,-0.0001486073369565237
primary_layer20_131k,matched_control_3,20,131072,31,induction,generated,50,-0.0004603343809574885,-0.0035568091580079134,0.002814590618007001
primary_layer20_131k,matched_control_3,20,131072,31,final,all,50,-0.0012120700475602042,-0.0025547236096263777,0.00013869162502794987
primary_layer20_131k,matched_control_3,20,131072,31,final,prompt,50,-0.0007720191591548804,-0.0018542083737280268,0.0003035161289890364
primary_layer20_131k,matched_control_3,20,131072,31,final,generated,50,-0.00295719569878084,-0.0058889113375401375,1.8573487449291434e-05
primary_layer20_131k,subjective_self_report,20,131072,31,induction,all,50,-0.0005458490860387326,-0.0016021621776653825,0.0004392692596144848
primary_layer20_131k,subjective_self_report,20,131072,31,induction,prompt,50,5.661231884057996e-05,5.661231884057996e-05,5.661231884057996e-05
primary_layer20_131k,subjective_self_report,20,131072,31,induction,generated,50,0.0005613009164708279,-0.001344699669124606,0.002474204995735437
primary_layer20_131k,subjective_self_report,20,131072,31,final,all,50,-5.4160893551596196e-05,-0.0009539543090626164,0.00082461677253053
primary_layer20_131k,subjective_self_report,20,131072,31,final,prompt,50,-0.00028009501894907935,-0.0010479344445631404,0.00044683363551960574
primary_layer20_131k,subjective_self_report,20,131072,31,final,generated,50,0.001191994625350033,-0.0004770544543032267,0.002811723713029343
width_robustness,deception_roleplay,20,16384,31,induction,all,30,-0.00010441213860753577,-0.0009569798278275683,0.0008806364109042087
width_robustness,deception_roleplay,20,16384,31,induction,prompt,30,-0.0001297365640096637,-0.0001297365640096637,-0.0001297365640096637
width_robustness,deception_roleplay,20,16384,31,induction,generated,30,0.0021302766097054224,-0.00022491883726289856,0.004712965726569838
width_robustness,deception_roleplay,20,16384,31,final,all,30,0.00039540129925795346,-0.0005347352904862667,0.001387602466870283
width_robustness,deception_roleplay,20,16384,31,final,prompt,30,0.00015425364889594466,-0.0005789051356784412,0.0009790849232734972
width_robustness,deception_roleplay,20,16384,31,final,generated,30,0.0010426905436507511,-0.0007803346182543914,0.0030449757692796405
